epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87352,1.20018,3.83586,1.78422,0.14337,0.72787,0.26882,0.19635,1.05174,3.11315,1.76261,0.000204613,0.000204613,0.000204613
2,16.5363,0.7425,2.1124,1.36626,0.42681,0.52994,0.46814,0.3601,0.85937,1.9358,1.46884,0.000408858,0.000408858,0.000408858
3,24.1409,0.68618,1.83884,1.31338,0.47504,0.65085,0.5277,0.39189,0.79826,1.68039,1.32375,0.000608978,0.000608978,0.000608978
4,31.7864,0.66964,1.77027,1.2914,0.40151,0.68714,0.55776,0.44429,0.71427,1.58412,1.19857,0.000606437,0.000606437,0.000606437
5,39.4671,0.63667,1.67574,1.2545,0.59449,0.66932,0.60932,0.54643,0.41131,1.29919,0.81297,0.00060025,0.00060025,0.00060025
6,47.2043,0.60937,1.60092,1.24703,0.46374,0.71565,0.59056,0.51588,0.55121,1.33446,0.93759,0.000594062,0.000594062,0.000594062
7,54.8281,0.60105,1.59486,1.23442,0.48652,0.66272,0.57943,0.48113,0.62564,1.33782,1.11942,0.000587875,0.000587875,0.000587875
8,62.5261,0.59749,1.55052,1.22273,0.44231,0.62107,0.55159,0.47039,0.53313,1.43679,0.94304,0.000581687,0.000581687,0.000581687
9,70.2006,0.57337,1.51312,1.21926,0.47131,0.65509,0.59914,0.51943,0.55951,1.31433,0.95283,0.0005755,0.0005755,0.0005755
10,77.9613,0.56412,1.5126,1.19911,0.58389,0.73645,0.68694,0.62567,0.44986,1.08843,0.87179,0.000569313,0.000569313,0.000569313
11,85.7356,0.54897,1.46841,1.18652,0.53066,0.74615,0.71018,0.66164,0.37912,1.20222,0.72657,0.000563125,0.000563125,0.000563125
12,93.406,0.5544,1.41065,1.19971,0.54896,0.80894,0.6851,0.61747,0.46771,1.01926,0.86177,0.000556938,0.000556938,0.000556938
13,101.012,0.51508,1.38779,1.15061,0.58596,0.81883,0.73326,0.6715,0.41212,0.97012,0.78505,0.00055075,0.00055075,0.00055075
14,108.765,0.51291,1.36915,1.15684,0.62251,0.73251,0.73707,0.6882,0.37451,0.9365,0.76282,0.000544563,0.000544563,0.000544563
15,116.538,0.52248,1.3558,1.15983,0.63529,0.81801,0.74103,0.70308,0.32235,0.86799,0.69947,0.000538375,0.000538375,0.000538375
16,124.321,0.5266,1.36638,1.18102,0.62814,0.8313,0.74623,0.6667,0.51321,0.98334,0.90897,0.000532187,0.000532187,0.000532187
17,132.086,0.5011,1.3101,1.14716,0.63366,0.85249,0.74532,0.67715,0.43549,0.85548,0.78541,0.000526,0.000526,0.000526
18,139.943,0.48385,1.27425,1.13794,0.59626,0.82537,0.75373,0.65345,0.6426,0.91755,1.04728,0.000519812,0.000519812,0.000519812
19,147.762,0.49615,1.29511,1.14585,0.66291,0.8481,0.78962,0.75565,0.30615,0.75735,0.67868,0.000513625,0.000513625,0.000513625
20,155.767,0.47934,1.27983,1.13284,0.62641,0.82262,0.77039,0.7103,0.40017,0.81501,0.74416,0.000507438,0.000507438,0.000507438
21,163.792,0.49508,1.26977,1.14887,0.70594,0.83099,0.78606,0.7119,0.49313,0.80731,0.82087,0.00050125,0.00050125,0.00050125
